weight_2_Quartiles_RF,weight_2_Quartiles_SVM,weight_2_Quartiles_KNN,weight_2_Quartiles_MLP,weight_2_Quartiles_XGB
Soil K Horiba (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Soil K Horiba (ppm)
Sap NO3 (ppm),Soil Ca Horiba (ppm),Soil pH Horiba,Soil Ca Horiba (ppm),Sap NO3 (ppm)
Sap Na (ppm),7in1_S_Temperature(C),Sap Na (ppm),Sap Ca (ppm),Soil Ca Horiba (ppm)
Soil Ca Horiba (ppm),Soil K Horiba (ppm),7in1_S_Temperature(C),Sap Conductivity (mS/cm),Sap Na (ppm)
Soil pH Horiba,Sap Na (ppm),Soil Ca Horiba (ppm),Sap Na (ppm),Chlorophyll (SPAD)
Soil Conductivity Horiba (mS/cm),Sap Ca (ppm),Sap Ca (ppm),7in1_S_Temperature(C),Soil NO3 Horiba (ppm)
Chlorophyll (SPAD),Soil Na Horiba (ppm),Air_sensor_Temperature(C),Soil Na Horiba (ppm),Sap Ca (ppm)
7in1_S_Temperature(C),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Air_sensor_Temperature(C),Soil Na Horiba (ppm)
Sap Conductivity (mS/cm),Chlorophyll (SPAD),Soil Na Horiba (ppm),Air_sensor_Humidity(%RH),Soil pH Horiba
Soil NO3 Horiba (ppm),Pynamometer_Radiation(W/m2),Pynamometer_Radiation(W/m2),Chlorophyll (SPAD),Sap Conductivity (mS/cm)
Air_sensor_Temperature(C),Soil pH Horiba,Sap K (ppm),Soil K Horiba (ppm),
Soil Na Horiba (ppm),Air_sensor_Temperature(C),7in1_Moisture(%RH),,
