weight_3_Nitrogen_RF,weight_3_Nitrogen_SVM,weight_3_Nitrogen_KNN,weight_3_Nitrogen_MLP,weight_3_Nitrogen_XGB
Soil NO3 Horiba (ppm),Sap Na (ppm),Sap Na (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm)
Chlorophyll (SPAD),Sap Ca (ppm),Sap Ca (ppm),Air_sensor_Temperature(C),Sap Na (ppm)
Sap Conductivity (mS/cm),7in1_S_Temperature(C),7in1_Moisture(%RH),Sap Na (ppm),Sap Conductivity (mS/cm)
Sap NO3 (ppm),7in1_Moisture(%RH),Sap NO3 (ppm),Soil Conductivity Horiba (mS/cm),Chlorophyll (SPAD)
Sap Ca (ppm),Chlorophyll (SPAD),Sap Conductivity (mS/cm),Sap Ca (ppm),Sap Ca (ppm)
Sap Na (ppm),Sap Conductivity (mS/cm),Soil pH Horiba,7in1_S_Temperature(C),Soil Na Horiba (ppm)
Sap K (ppm),Soil NO3 Horiba (ppm),7in1_S_Temperature(C),Sap NO3 (ppm),Soil K Horiba (ppm)
Soil K Horiba (ppm),Soil Conductivity Horiba (mS/cm),Chlorophyll (SPAD),Sap Conductivity (mS/cm),Sap K (ppm)
Soil Ca Horiba (ppm),Air_sensor_Temperature(C),Pynamometer_Radiation(W/m2),Chlorophyll (SPAD),Soil Conductivity Horiba (mS/cm)
Soil Na Horiba (ppm),Sap K (ppm),Sap K (ppm),7in1_Moisture(%RH),Sap NO3 (ppm)
Air_sensor_Temperature(C),Soil pH Horiba,Air_sensor_Temperature(C),Pynamometer_Radiation(W/m2),7in1_S_Temperature(C)
Soil Conductivity Horiba (mS/cm),Sap NO3 (ppm),Soil Ca Horiba (ppm),Sap K (ppm),7in1_Moisture(%RH)
7in1_S_Temperature(C),Sap pH,Sap pH,Soil Ca Horiba (ppm),Soil Ca Horiba (ppm)
