weight_3_Nitrogen_RF,weight_3_Nitrogen_SVM,weight_3_Nitrogen_KNN,weight_3_Nitrogen_MLP,weight_3_Nitrogen_XGB
Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm)
Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Chlorophyll (SPAD),Sap Na (ppm)
Soil NO3 Horiba (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Conductivity (mS/cm),Chlorophyll (SPAD)
Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Conductivity (mS/cm)
Sap Ca (ppm),Soil NO3 Horiba (ppm),Sap NO3 (ppm),7in1_S_Temperature(C),Sap Ca (ppm)
Sap K (ppm),Air_sensor_Temperature(C),Soil pH Horiba,Sap NO3 (ppm),Sap K (ppm)
Sap NO3 (ppm),7in1_S_Temperature(C),Sap K (ppm),Air_sensor_Temperature(C),Soil K Horiba (ppm)
Soil K Horiba (ppm),Sap K (ppm),7in1_S_Temperature(C),Soil Ca Horiba (ppm),Sap NO3 (ppm)
Air_sensor_Temperature(C),Sap NO3 (ppm),Soil NO3 Horiba (ppm),Sap Ca (ppm),7in1_Ph(pH)
7in1_Ph(pH),Soil Ca Horiba (ppm),Pynamometer_Radiation(W/m2),Sap K (ppm),Soil Ca Horiba (ppm)
Soil Na Horiba (ppm),Soil Na Horiba (ppm),Air_sensor_Temperature(C),Soil Na Horiba (ppm),Soil Na Horiba (ppm)
Soil Ca Horiba (ppm),Sap pH,Soil Ca Horiba (ppm),Pynamometer_Radiation(W/m2),Soil Conductivity Horiba (mS/cm)
7in1_S_Temperature(C),Soil pH Horiba,Sap pH,Sap pH,7in1_Conductivity(mS/cm)
Sap pH,Air_sensor_Humidity(%RH),Air_sensor_Humidity(%RH),7in1_Moisture(%RH),
